"h_code","thunhap","thubq","year"
"4042217251013014",55312,768,2018
"4042217251013014",20000,NA,2018
"4042217251013014",0,NA,2018
"4042217251013014",48850,NA,2018
"4042217251013014",3090,NA,2018
"4042217251013014",410,NA,2018
"4042217251013014",3680,NA,2018
"4042217251013014",8435,NA,2018
"4042217251013015",29585,2465,2018
"4042217251013015",1800,NA,2018
"4042217251013015",0,NA,2018
"4042217251013015",15800,NA,2018
"4042217251013015",2670,NA,2018
"4042217251013015",260,NA,2018
"4042217251013015",370,NA,2018
"4042217251013015",3800,NA,2018
"4042317317006013",208779,2485,2018
"4042317317006013",0,NA,2018
"4042317317006013",0,NA,2018
"4042317317006013",156000,NA,2018
"4042317317006013",6019,NA,2018
"4042317317006013",19100,NA,2018
"4042317317006013",1190,NA,2018
"4042317317006013",5540,NA,2018
"4042317317006014",106620,1110,2018
"4042317317006014",0,NA,2018
"4042317317006014",0,NA,2018
"4042317317006014",0,NA,2018
"4042317317006014",8630,NA,2018
"4042317317006014",80,NA,2018
"4042317317006014",3590,NA,2018
"4042317317006014",5170,NA,2018
"4042317317006015",63289,1318,2018
"4042317317006015",0,NA,2018
"4042317317006015",0,NA,2018
"4042317317006015",40000,NA,2018
"4042317317006015",5150,NA,2018
"4042317317006015",80,NA,2018
"4042317317006015",120,NA,2018
"4042317317006015",2690,NA,2018
"4042517401011014",102841,1714,2018
"4042517401011014",78900,NA,2018
"4042517401011014",0,NA,2018
"4042517401011014",0,NA,2018
"4042517401011014",10397,NA,2018
"4042517401011014",0,NA,2018
"4042517401011014",3575,NA,2018
"4042517401011014",9552,NA,2018
"4042517401011015",117328,1955,2018
"4042517401011015",108900,NA,2018
"4042517401011015",0,NA,2018
"4042517401011015",0,NA,2018
"4042517401011015",8892,NA,2018
"4042517401011015",0,NA,2018
"4042517401011015",13100,NA,2018
"4042517401011015",5900,NA,2018
"4042517488010014",45755,1906,2018
"4042517488010014",0,NA,2018
"4042517488010014",0,NA,2018
"4042517488010014",0,NA,2018
"4042517488010014",5474,NA,2018
"4042517488010014",0,NA,2018
"4042517488010014",806,NA,2018
"4042517488010014",750,NA,2018
"4042517488010015",22200,925,2018
"4042517488010015",0,NA,2018
"4042517488010015",0,NA,2018
"4042517488010015",0,NA,2018
"4042517488010015",0,NA,2018
"4042517488010015",0,NA,2018
"4042517488010015",290,NA,2018
"4042517488010015",2312,NA,2018
"4042517488010013",39320,1638,2018
"4042517488010013",0,NA,2018
"4042517488010013",0,NA,2018
"4042517488010013",0,NA,2018
"4042517488010013",15765,NA,2018
"4042517488010013",0,NA,2018
"4042517488010013",8604,NA,2018
"4042517488010013",3700,NA,2018
"4042617542002013",123106,2051,2018
"4042617542002013",73250,NA,2018
"4042617542002013",0,NA,2018
"4042617542002013",0,NA,2018
"4042617542002013",10400,NA,2018
"4042617542002013",0,NA,2018
"4042617542002013",3740,NA,2018
"4042617542002013",6115,NA,2018
"4042617542002014",98832,2745,2018
"4042617542002014",0,NA,2018
"4042617542002014",0,NA,2018
"4042617542002014",55500,NA,2018
"4042617542002014",5682,NA,2018
"4042617542002014",0,NA,2018
"4042617542002014",28500,NA,2018
"4042617542002014",2535,NA,2018
"4042617542002015",157404,3279,2018
"4042617542002015",0,NA,2018
"4042617542002015",0,NA,2018
"4042617542002015",230000,NA,2018
"4042617542002015",2746,NA,2018
"4042617542002015",0,NA,2018
"4042617542002015",4650,NA,2018
"4042617542002015",11700,NA,2018
"4042717629005013",26800,2233,2018
"4042717629005013",0,NA,2018
"4042717629005013",0,NA,2018
"4042717629005013",0,NA,2018
"4042717629005013",0,NA,2018
"4042717629005013",0,NA,2018
"4042717629005013",3300,NA,2018
"4042717629005013",1080,NA,2018
"4042717629005014",208336,4340,2018
"4042717629005014",187440,NA,2018
"4042717629005014",0,NA,2018
"4042717629005014",0,NA,2018
"4042717629005014",4418,NA,2018
"4042717629005014",0,NA,2018
"4042717629005014",720,NA,2018
"4042717629005014",7581,NA,2018
"4042717629005015",131084,3641,2018
"4042717629005015",69800,NA,2018
"4042717629005015",0,NA,2018
"4042717629005015",0,NA,2018
"4042717629005015",10898,NA,2018
"4042717629005015",2200,NA,2018
"4042717629005015",3408,NA,2018
"4042717629005015",9240,NA,2018
"4042817731008013",99730,4155,2018
"4042817731008013",66600,NA,2018
"4042817731008013",0,NA,2018
"4042817731008013",9900,NA,2018
"4042817731008013",7763,NA,2018
"4042817731008013",470,NA,2018
"4042817731008013",1578,NA,2018
"4042817731008013",1550,NA,2018
"4042817731008014",20659,1721,2018
"4042817731008014",11760,NA,2018
"4042817731008014",0,NA,2018
"4042817731008014",0,NA,2018
"4042817731008014",21,NA,2018
"4042817731008014",0,NA,2018
"4042817731008014",500,NA,2018
"4042817731008014",230,NA,2018
"4042817731008015",36325,3027,2018
"4042817731008015",0,NA,2018
"4042817731008015",0,NA,2018
"4042817731008015",0,NA,2018
"4042817731008015",3783,NA,2018
"4042817731008015",150,NA,2018
"4042817731008015",5050,NA,2018
"4042817731008015",1045,NA,2018
"4042817809008013",140860,1956,2018
"4042817809008013",0,NA,2018
"4042817809008013",0,NA,2018
"4042817809008013",213500,NA,2018
"4042817809008013",9390,NA,2018
"4042817809008013",0,NA,2018
"4042817809008013",714,NA,2018
"4042817809008013",7810,NA,2018
"4042817809008015",115490,3208,2018
"4042817809008015",1e+05,NA,2018
"4042817809008015",0,NA,2018
"4042817809008015",0,NA,2018
"4042817809008015",2303,NA,2018
"4042817809008015",120,NA,2018
"4042817809008015",100,NA,2018
"4042817809008015",3650,NA,2018
"4042917857009013",81025,2250,2018
"4042917857009013",23580,NA,2018
"4042917857009013",0,NA,2018
"4042917857009013",0,NA,2018
"4042917857009013",14850,NA,2018
"4042917857009013",950,NA,2018
"4042917857009013",4122,NA,2018
"4042917857009013",3880,NA,2018
"4042917857009014",86676,2407,2018
"4042917857009014",70000,NA,2018
"4042917857009014",0,NA,2018
"4042917857009014",0,NA,2018
"4042917857009014",11850,NA,2018
"4042917857009014",150,NA,2018
"4042917857009014",3684,NA,2018
"4042917857009014",16130,NA,2018
"4042917857009015",27604,2300,2018
"4042917857009015",0,NA,2018
"4042917857009015",0,NA,2018
"4042917857009015",0,NA,2018
"4042917857009015",0,NA,2018
"4042917857009015",0,NA,2018
"4042917857009015",640,NA,2018
"4042917857009015",1965,NA,2018
"4043017938011013",87735,2437,2018
"4043017938011013",36000,NA,2018
"4043017938011013",0,NA,2018
"4043017938011013",0,NA,2018
"4043017938011013",12125,NA,2018
"4043017938011013",200,NA,2018
"4043017938011013",1250,NA,2018
"4043017938011013",5020,NA,2018
"4043017938011014",109500,2281,2018
"4043017938011014",73800,NA,2018
"4043017938011014",0,NA,2018
"4043017938011014",0,NA,2018
"4043017938011014",14530,NA,2018
"4043017938011014",100,NA,2018
"4043017938011014",1420,NA,2018
